,flop,board_type,0b,1b,2b,profit,flop,max_profit
121,"[14, 8, 7]",two-tone,16,11,8,2.0199395659639534,"[14, 8, 7]",2.0199395659639534
122,"[14, 8, 6]",two-tone,16,11,8,1.852146706256648,"[14, 8, 6]",1.852146706256648
123,"[14, 8, 5]",two-tone,16,11,8,1.9111975002862158,"[14, 8, 5]",1.9111975002862158
124,"[14, 8, 4]",two-tone,16,11,8,1.8460140704126755,"[14, 8, 4]",1.8460140704126755
125,"[14, 8, 3]",two-tone,16,11,8,1.8714459208894965,"[14, 8, 3]",1.8714459208894965
126,"[14, 8, 2]",two-tone,16,11,8,1.8737267125105652,"[14, 8, 2]",1.8737267125105652
127,"[14, 7, 7]",two-tone,16,11,8,2.119468988229572,"[14, 7, 7]",2.119468988229572
128,"[14, 7, 6]",two-tone,16,11,8,2.0554234906257856,"[14, 7, 6]",2.0554234906257856
129,"[14, 7, 5]",two-tone,16,11,8,1.9523005702377731,"[14, 7, 5]",1.9523005702377731
130,"[14, 7, 4]",two-tone,16,11,8,1.8857832677933,"[14, 7, 4]",1.8857832677933
131,"[14, 7, 3]",two-tone,16,11,8,1.900195152475324,"[14, 7, 3]",1.900195152475324
132,"[14, 7, 2]",two-tone,16,11,8,1.9209733420870985,"[14, 7, 2]",1.9209733420870985
133,"[14, 6, 6]",two-tone,16,11,8,2.050296782238884,"[14, 6, 6]",2.050296782238884
134,"[14, 6, 5]",two-tone,16,11,8,2.026193992053781,"[14, 6, 5]",2.026193992053781
135,"[14, 6, 4]",two-tone,16,11,8,1.974967736433462,"[14, 6, 4]",1.974967736433462
136,"[14, 6, 3]",two-tone,16,11,8,1.9805995664582687,"[14, 6, 3]",1.9805995664582687
137,"[14, 6, 2]",two-tone,16,11,8,1.9945088923184542,"[14, 6, 2]",1.9945088923184542
138,"[14, 5, 5]",two-tone,16,11,8,2.089254390574712,"[14, 5, 5]",2.089254390574712
139,"[14, 5, 4]",two-tone,16,11,8,2.100248640173575,"[14, 5, 4]",2.100248640173575
140,"[14, 5, 3]",two-tone,16,11,8,2.1714604817690364,"[14, 5, 3]",2.1714604817690364
141,"[14, 5, 2]",two-tone,16,11,8,2.183121630607316,"[14, 5, 2]",2.183121630607316
142,"[14, 4, 4]",two-tone,16,11,8,2.055090956180265,"[14, 4, 4]",2.055090956180265
143,"[14, 4, 3]",two-tone,16,11,8,2.049345280375297,"[14, 4, 3]",2.049345280375297
144,"[14, 4, 2]",two-tone,16,11,8,2.0436274273430253,"[14, 4, 2]",2.0436274273430253
145,"[14, 3, 3]",two-tone,16,11,8,2.1109836767604917,"[14, 3, 3]",2.1109836767604917
146,"[14, 3, 2]",two-tone,16,11,8,1.921181384649964,"[14, 3, 2]",1.921181384649964
147,"[14, 2, 2]",two-tone,16,11,8,2.1122423560985677,"[14, 2, 2]",2.1122423560985677
148,"[14, 14, 9]",two-tone,16,11,8,2.2071608660269817,"[14, 14, 9]",2.2071608660269817
149,"[14, 14, 8]",two-tone,16,11,8,2.284735092109713,"[14, 14, 8]",2.284735092109713
150,"[14, 14, 7]",two-tone,16,11,8,2.1651180683430717,"[14, 14, 7]",2.1651180683430717
151,"[14, 14, 6]",two-tone,16,11,8,2.139867805860166,"[14, 14, 6]",2.139867805860166
152,"[14, 14, 5]",two-tone,16,11,8,2.137843290478465,"[14, 14, 5]",2.137843290478465
153,"[14, 14, 4]",two-tone,16,11,8,1.990324035464644,"[14, 14, 4]",1.990324035464644
154,"[14, 14, 3]",two-tone,16,11,8,1.992830136016794,"[14, 14, 3]",1.992830136016794
155,"[14, 14, 2]",two-tone,16,11,8,1.9953041769806368,"[14, 14, 2]",1.9953041769806368
156,"[14, 14, 13]",two-tone,16,11,8,2.8442189473025175,"[14, 14, 13]",2.8442189473025175
157,"[14, 14, 12]",two-tone,16,11,8,2.7875103908040737,"[14, 14, 12]",2.7875103908040737
158,"[14, 14, 11]",two-tone,16,11,8,2.5722337485172,"[14, 14, 11]",2.5722337485172
159,"[14, 14, 10]",two-tone,16,11,8,2.516711532434813,"[14, 14, 10]",2.516711532434813
160,"[14, 13, 9]",two-tone,16,11,8,2.1458698397559948,"[14, 13, 9]",2.1458698397559948
161,"[14, 13, 8]",two-tone,16,11,8,2.13951778399379,"[14, 13, 8]",2.13951778399379
162,"[14, 13, 7]",two-tone,16,11,8,2.062803252563127,"[14, 13, 7]",2.062803252563127
163,"[14, 13, 6]",two-tone,16,11,8,2.060265830328293,"[14, 13, 6]",2.060265830328293
164,"[14, 13, 5]",two-tone,16,11,8,2.0934501526182863,"[14, 13, 5]",2.0934501526182863
165,"[14, 13, 4]",two-tone,16,11,8,1.9929957803570648,"[14, 13, 4]",1.9929957803570648
166,"[14, 13, 3]",two-tone,16,11,8,1.9980868787833428,"[14, 13, 3]",1.9980868787833428
167,"[14, 13, 2]",two-tone,16,11,8,2.0036473590978647,"[14, 13, 2]",2.0036473590978647
168,"[14, 13, 13]",two-tone,16,11,8,2.619184999135668,"[14, 13, 13]",2.619184999135668
169,"[14, 13, 12]",two-tone,16,11,8,2.931604414835288,"[14, 13, 12]",2.931604414835288
170,"[14, 13, 11]",two-tone,16,11,8,2.586664784086768,"[14, 13, 11]",2.586664784086768
171,"[14, 13, 10]",two-tone,16,11,8,3.5925127321870565,"[14, 13, 10]",3.5925127321870565
172,"[14, 12, 9]",two-tone,16,11,8,2.155254631265559,"[14, 12, 9]",2.155254631265559
173,"[14, 12, 8]",two-tone,16,11,8,2.1918472540909093,"[14, 12, 8]",2.1918472540909093
174,"[14, 12, 7]",two-tone,16,11,8,2.1231330571428564,"[14, 12, 7]",2.1231330571428564
175,"[14, 12, 6]",two-tone,16,11,8,2.1133440567101047,"[14, 12, 6]",2.1133440567101047
176,"[14, 12, 5]",two-tone,16,11,8,2.1380315964762784,"[14, 12, 5]",2.1380315964762784
177,"[14, 12, 4]",two-tone,16,11,8,2.042995154416509,"[14, 12, 4]",2.042995154416509
178,"[14, 12, 3]",two-tone,16,11,8,2.049471035329553,"[14, 12, 3]",2.049471035329553
179,"[14, 12, 2]",two-tone,16,11,8,2.0539834038766838,"[14, 12, 2]",2.0539834038766838
180,"[14, 12, 12]",two-tone,16,11,8,2.665329858300252,"[14, 12, 12]",2.665329858300252
181,"[14, 12, 11]",two-tone,16,11,8,2.6325489749848145,"[14, 12, 11]",2.6325489749848145
182,"[14, 12, 10]",two-tone,16,11,8,3.5811481024473664,"[14, 12, 10]",3.5811481024473664
183,"[14, 11, 9]",two-tone,16,11,8,2.020763035785124,"[14, 11, 9]",2.020763035785124
184,"[14, 11, 8]",two-tone,16,11,8,2.050179500419877,"[14, 11, 8]",2.050179500419877
185,"[14, 11, 7]",two-tone,16,11,8,1.9999924490242005,"[14, 11, 7]",1.9999924490242005
186,"[14, 11, 6]",two-tone,16,11,8,2.020054006402173,"[14, 11, 6]",2.020054006402173
187,"[14, 11, 5]",two-tone,16,11,8,2.0412519603825916,"[14, 11, 5]",2.0412519603825916
188,"[14, 11, 4]",two-tone,16,11,8,1.9541706845896425,"[14, 11, 4]",1.9541706845896425
189,"[14, 11, 3]",two-tone,16,11,8,1.961554650382249,"[14, 11, 3]",1.961554650382249
190,"[14, 11, 2]",two-tone,16,11,8,1.9692926082789484,"[14, 11, 2]",1.9692926082789484
191,"[14, 11, 11]",two-tone,16,11,8,2.3627178791888244,"[14, 11, 11]",2.3627178791888244
192,"[14, 11, 10]",two-tone,16,11,8,3.6323113136543577,"[14, 11, 10]",3.6323113136543577
193,"[14, 10, 9]",two-tone,15,10,7,1.9373746142623849,"[14, 10, 9]",1.9373746142623849
194,"[14, 10, 8]",two-tone,16,11,8,1.958435491768367,"[14, 10, 8]",1.958435491768367
195,"[14, 10, 7]",two-tone,16,11,8,1.905497919387657,"[14, 10, 7]",1.905497919387657
196,"[14, 10, 6]",two-tone,16,11,8,1.939656372811811,"[14, 10, 6]",1.939656372811811
197,"[14, 10, 5]",two-tone,16,11,8,1.993894669429476,"[14, 10, 5]",1.993894669429476
198,"[14, 10, 4]",two-tone,16,11,8,1.898699006753037,"[14, 10, 4]",1.898699006753037
199,"[14, 10, 3]",two-tone,16,11,8,1.9084115671889403,"[14, 10, 3]",1.9084115671889403
200,"[14, 10, 2]",two-tone,16,11,8,1.9136876078986176,"[14, 10, 2]",1.9136876078986176
