,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
278,"[13, 10, 10]",two-tone,16,11,8,2.153771226794833,"[13, 10, 10]",2.153771226794833
279,"[12, 9, 9]",two-tone,16,11,8,2.175629440845285,"[12, 9, 9]",2.175629440845285
280,"[12, 9, 8]",two-tone,16,11,8,2.1492997668685945,"[12, 9, 8]",2.1492997668685945
281,"[12, 9, 7]",two-tone,16,11,8,1.8589155838325988,"[12, 9, 7]",1.8589155838325988
282,"[12, 9, 6]",two-tone,16,11,8,1.8225819831714345,"[12, 9, 6]",1.8225819831714345
283,"[12, 9, 5]",two-tone,16,11,8,1.7643574061646619,"[12, 9, 5]",1.7643574061646619
284,"[12, 9, 4]",two-tone,16,11,8,1.7901056297946418,"[12, 9, 4]",1.7901056297946418
285,"[12, 9, 3]",two-tone,16,11,8,1.819067428399341,"[12, 9, 3]",1.819067428399341
286,"[12, 9, 2]",two-tone,16,11,8,1.8715648276317178,"[12, 9, 2]",1.8715648276317178
287,"[12, 8, 8]",two-tone,16,11,8,2.1412405739175293,"[12, 8, 8]",2.1412405739175293
288,"[12, 8, 7]",two-tone,16,11,8,1.9567313542113824,"[12, 8, 7]",1.9567313542113824
289,"[12, 8, 6]",two-tone,16,11,8,1.9331376609541204,"[12, 8, 6]",1.9331376609541204
290,"[12, 8, 5]",two-tone,16,11,8,1.9100734480715011,"[12, 8, 5]",1.9100734480715011
291,"[12, 8, 4]",two-tone,16,11,8,1.9275163680582783,"[12, 8, 4]",1.9275163680582783
292,"[12, 8, 3]",two-tone,16,11,8,1.952404878154264,"[12, 8, 3]",1.952404878154264
293,"[12, 8, 2]",two-tone,16,11,8,1.9960616711463592,"[12, 8, 2]",1.9960616711463592
294,"[12, 7, 7]",two-tone,16,11,8,2.146421349244808,"[12, 7, 7]",2.146421349244808
295,"[12, 7, 6]",two-tone,16,11,8,1.9154868367226272,"[12, 7, 6]",1.9154868367226272
296,"[12, 7, 5]",two-tone,16,11,8,1.8593526757950176,"[12, 7, 5]",1.8593526757950176
297,"[12, 7, 4]",two-tone,16,11,8,1.8799988100692264,"[12, 7, 4]",1.8799988100692264
298,"[12, 7, 3]",two-tone,16,11,8,1.9175166332882576,"[12, 7, 3]",1.9175166332882576
299,"[12, 7, 2]",two-tone,16,11,8,1.980440754971,"[12, 7, 2]",1.980440754971
300,"[12, 6, 6]",two-tone,16,11,8,2.142486595182904,"[12, 6, 6]",2.142486595182904
301,"[12, 6, 5]",two-tone,16,11,8,1.8270336045758169,"[12, 6, 5]",1.8270336045758169
302,"[12, 6, 4]",two-tone,16,11,8,1.880785278286092,"[12, 6, 4]",1.880785278286092
303,"[12, 6, 3]",two-tone,16,11,8,1.8831323416471573,"[12, 6, 3]",1.8831323416471573
