,flop,board_type,0b,1b,2b,profit,flop,max_profit
166,"[14, 13, 3]",two-tone,16,11,8,5.413239900417869,"[14, 13, 3]",5.413239900417869
167,"[14, 13, 2]",two-tone,16,11,8,5.415529275417869,"[14, 13, 2]",5.415529275417869
168,"[14, 13, 13]",two-tone,16,11,8,7.2573536758410775,"[14, 13, 13]",7.2573536758410775
169,"[14, 13, 12]",two-tone,15,10,7,9.888212376586818,"[14, 13, 12]",9.888212376586818
170,"[14, 13, 11]",two-tone,15,10,7,9.528129603618561,"[14, 13, 11]",9.528129603618561
171,"[14, 13, 10]",two-tone,15,10,7,12.757132514938764,"[14, 13, 10]",12.757132514938764
172,"[14, 12, 9]",two-tone,15,10,7,5.928194019344993,"[14, 12, 9]",5.928194019344993
173,"[14, 12, 8]",two-tone,15,10,7,8.129275333711783,"[14, 12, 8]",8.129275333711783
174,"[14, 12, 7]",two-tone,16,11,8,6.766246409374744,"[14, 12, 7]",6.766246409374744
175,"[14, 12, 6]",two-tone,16,11,8,6.763837085556724,"[14, 12, 6]",6.763837085556724
176,"[14, 12, 5]",two-tone,16,11,8,6.4258263148634045,"[14, 12, 5]",6.4258263148634045
177,"[14, 12, 4]",two-tone,16,11,8,6.425364034727581,"[14, 12, 4]",6.425364034727581
178,"[14, 12, 3]",two-tone,16,11,8,6.427951145084117,"[14, 12, 3]",6.427951145084117
179,"[14, 12, 2]",two-tone,16,11,8,6.429350423522147,"[14, 12, 2]",6.429350423522147
180,"[14, 12, 12]",two-tone,16,11,8,8.16249756018835,"[14, 12, 12]",8.16249756018835
181,"[14, 12, 11]",two-tone,15,10,7,10.264890901119118,"[14, 12, 11]",10.264890901119118
182,"[14, 12, 10]",two-tone,15,10,7,12.768272402193574,"[14, 12, 10]",12.768272402193574
183,"[14, 11, 9]",two-tone,16,11,8,5.0607544837606815,"[14, 11, 9]",5.0607544837606815
184,"[14, 11, 8]",two-tone,15,10,7,6.522957858020767,"[14, 11, 8]",6.522957858020767
185,"[14, 11, 7]",two-tone,16,11,8,6.477308336501378,"[14, 11, 7]",6.477308336501378
186,"[14, 11, 6]",two-tone,15,10,7,6.4396040651409185,"[14, 11, 6]",6.4396040651409185
187,"[14, 11, 5]",two-tone,15,10,7,6.083161350564665,"[14, 11, 5]",6.083161350564665
188,"[14, 11, 4]",two-tone,15,10,7,6.085700512368377,"[14, 11, 4]",6.085700512368377
189,"[14, 11, 3]",two-tone,15,10,7,6.085666505737077,"[14, 11, 3]",6.085666505737077
190,"[14, 11, 2]",two-tone,15,10,7,6.081466686771562,"[14, 11, 2]",6.081466686771562
191,"[14, 11, 11]",two-tone,15,10,7,7.542695669662791,"[14, 11, 11]",7.542695669662791
192,"[14, 11, 10]",two-tone,15,10,7,12.765944667010348,"[14, 11, 10]",12.765944667010348
193,"[14, 10, 9]",two-tone,16,11,8,7.120770077753957,"[14, 10, 9]",7.120770077753957
194,"[14, 10, 8]",two-tone,15,10,7,6.0826194935028575,"[14, 10, 8]",6.0826194935028575
195,"[14, 10, 7]",two-tone,16,11,8,6.027830808022197,"[14, 10, 7]",6.027830808022197
196,"[14, 10, 6]",two-tone,16,11,8,5.919047546051733,"[14, 10, 6]",5.919047546051733
197,"[14, 10, 5]",two-tone,16,11,8,5.557617287805071,"[14, 10, 5]",5.557617287805071
198,"[14, 10, 4]",two-tone,16,11,8,5.557533712185776,"[14, 10, 4]",5.557533712185776
199,"[14, 10, 3]",two-tone,15,10,7,5.555293885588643,"[14, 10, 3]",5.555293885588643
200,"[14, 10, 2]",two-tone,15,10,7,5.560181387805072,"[14, 10, 2]",5.560181387805072
201,"[14, 10, 10]",two-tone,15,10,7,6.154272344766605,"[14, 10, 10]",6.154272344766605
202,"[13, 9, 9]",two-tone,16,11,8,1.7325614212733509,"[13, 9, 9]",1.7325614212733509
203,"[13, 9, 8]",two-tone,16,11,8,2.6303410291486005,"[13, 9, 8]",2.6303410291486005
204,"[13, 9, 7]",two-tone,15,10,7,2.6289451571147016,"[13, 9, 7]",2.6289451571147016
205,"[13, 9, 6]",two-tone,16,11,8,2.5108951199448155,"[13, 9, 6]",2.5108951199448155
206,"[13, 9, 5]",two-tone,16,11,8,2.372554890322581,"[13, 9, 5]",2.372554890322581
207,"[13, 9, 4]",two-tone,16,11,8,2.3704755722055517,"[13, 9, 4]",2.3704755722055517
208,"[13, 9, 3]",two-tone,16,11,8,2.371626606676669,"[13, 9, 3]",2.371626606676669
209,"[13, 9, 2]",two-tone,16,11,8,2.370293567179295,"[13, 9, 2]",2.370293567179295
210,"[13, 8, 8]",two-tone,16,11,8,0.08821922502768542,"[13, 8, 8]",0.08821922502768542
211,"[13, 8, 7]",two-tone,15,10,7,2.066735864186045,"[13, 8, 7]",2.066735864186045
212,"[13, 8, 6]",two-tone,16,11,8,1.4666665083720916,"[13, 8, 6]",1.4666665083720916
213,"[13, 8, 5]",two-tone,16,11,8,1.3848085669250645,"[13, 8, 5]",1.3848085669250645
214,"[13, 8, 4]",two-tone,16,11,8,1.3599962904392755,"[13, 8, 4]",1.3599962904392755
215,"[13, 8, 3]",two-tone,16,11,8,1.3677021270579548,"[13, 8, 3]",1.3677021270579548
216,"[13, 8, 2]",two-tone,16,11,8,1.3644599190845326,"[13, 8, 2]",1.3644599190845326
217,"[13, 7, 7]",two-tone,16,11,8,-1.8995767035437432,"[13, 7, 7]",-1.8995767035437432
218,"[13, 7, 6]",two-tone,16,11,8,-0.06141594100775327,"[13, 7, 6]",-0.06141594100775327
219,"[13, 7, 5]",two-tone,16,11,8,-0.551348136138798,"[13, 7, 5]",-0.551348136138798
220,"[13, 7, 4]",two-tone,16,11,8,-0.5843262839424153,"[13, 7, 4]",-0.5843262839424153
221,"[13, 7, 3]",two-tone,16,11,8,-0.6119782305278716,"[13, 7, 3]",-0.6119782305278716
222,"[13, 7, 2]",two-tone,16,11,8,-0.6078542943890746,"[13, 7, 2]",-0.6078542943890746
223,"[13, 6, 6]",two-tone,16,11,8,-3.4495204914728674,"[13, 6, 6]",-3.4495204914728674
224,"[13, 6, 5]",two-tone,16,11,8,-1.990291906312292,"[13, 6, 5]",-1.990291906312292
225,"[13, 6, 4]",two-tone,16,11,8,-2.050047198597268,"[13, 6, 4]",-2.050047198597268
226,"[13, 6, 3]",two-tone,16,11,8,-2.099579414101144,"[13, 6, 3]",-2.099579414101144
227,"[13, 6, 2]",two-tone,16,11,8,-2.117703969952012,"[13, 6, 2]",-2.117703969952012
228,"[13, 5, 5]",two-tone,16,11,8,-4.731574135412265,"[13, 5, 5]",-4.731574135412265
229,"[13, 5, 4]",two-tone,16,11,8,-3.2598151044749826,"[13, 5, 4]",-3.2598151044749826
230,"[13, 5, 3]",two-tone,16,11,8,-3.327595232381958,"[13, 5, 3]",-3.327595232381958
231,"[13, 5, 2]",two-tone,16,11,8,-3.365119972692037,"[13, 5, 2]",-3.365119972692037
