,flop,board_type,0b,1b,2b,profit,flop,max_profit
228,"[13, 5, 5]",two-tone,16,11,8,-2.928733321212122,"[13, 5, 5]",-2.928733321212122
229,"[13, 5, 4]",two-tone,16,11,8,-1.4769789318181819,"[13, 5, 4]",-1.4769789318181819
230,"[13, 5, 3]",two-tone,16,11,8,-1.5449530151515156,"[13, 5, 3]",-1.5449530151515156
231,"[13, 5, 2]",two-tone,16,11,8,-1.5859154318181818,"[13, 5, 2]",-1.5859154318181818
232,"[13, 4, 4]",two-tone,16,11,8,-2.94154623030303,"[13, 4, 4]",-2.94154623030303
233,"[13, 4, 3]",two-tone,16,11,8,-1.5498914318181811,"[13, 4, 3]",-1.5498914318181811
234,"[13, 4, 2]",two-tone,16,11,8,-1.5870665151515149,"[13, 4, 2]",-1.5870665151515149
235,"[13, 3, 3]",two-tone,16,11,8,-2.941111475757575,"[13, 3, 3]",-2.941111475757575
236,"[13, 3, 2]",two-tone,16,11,8,-1.5784230984848486,"[13, 3, 2]",-1.5784230984848486
237,"[13, 2, 2]",two-tone,16,11,8,-2.9408866712121213,"[13, 2, 2]",-2.9408866712121213
238,"[13, 13, 9]",two-tone,16,11,8,2.394021726238244,"[13, 13, 9]",2.394021726238244
239,"[13, 13, 8]",two-tone,16,11,8,1.6406415506948022,"[13, 13, 8]",1.6406415506948022
240,"[13, 13, 7]",two-tone,16,11,8,-0.5424281021101378,"[13, 13, 7]",-0.5424281021101378
241,"[13, 13, 6]",two-tone,16,11,8,-2.110240721210228,"[13, 13, 6]",-2.110240721210228
242,"[13, 13, 5]",two-tone,16,11,8,-3.5826720694581256,"[13, 13, 5]",-3.5826720694581256
243,"[13, 13, 4]",two-tone,16,11,8,-3.5904880751231514,"[13, 13, 4]",-3.5904880751231514
244,"[13, 13, 3]",two-tone,16,11,8,-3.584512558743841,"[13, 13, 3]",-3.584512558743841
245,"[13, 13, 2]",two-tone,16,11,8,-3.594335020566503,"[13, 13, 2]",-3.594335020566503
246,"[13, 13, 12]",two-tone,16,11,8,5.4307127245657565,"[13, 13, 12]",5.4307127245657565
247,"[13, 13, 11]",two-tone,16,11,8,4.089825829158554,"[13, 13, 11]",4.089825829158554
248,"[13, 13, 10]",two-tone,15,10,7,2.8189215842492814,"[13, 13, 10]",2.8189215842492814
