,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
389,"[11, 10, 9]",two-tone,1,1,1,1.4598199391981757,"[11, 10, 9]",1.4598199391981757
390,"[11, 10, 8]",two-tone,2,2,2,1.3845552748306074,"[11, 10, 8]",1.3845552748306074
391,"[11, 10, 7]",two-tone,2,2,2,1.210563246364404,"[11, 10, 7]",1.210563246364404
392,"[11, 10, 6]",two-tone,2,2,2,0.8472005595838147,"[11, 10, 6]",0.8472005595838147
393,"[11, 10, 5]",two-tone,2,2,2,0.8164680908401694,"[11, 10, 5]",0.8164680908401694
394,"[11, 10, 4]",two-tone,2,2,2,0.8587851158621963,"[11, 10, 4]",0.8587851158621963
395,"[11, 10, 3]",two-tone,2,2,2,0.9066889061476104,"[11, 10, 3]",0.9066889061476104
396,"[11, 10, 2]",two-tone,2,2,2,0.9198760553257256,"[11, 10, 2]",0.9198760553257256
397,"[11, 10, 10]",two-tone,2,2,2,0.7416297042999909,"[11, 10, 10]",0.7416297042999909
398,"[10, 9, 9]",two-tone,1,1,1,0.5752673319362639,"[10, 9, 9]",0.5752673319362639
399,"[10, 9, 8]",two-tone,1,1,1,1.1519837516458007,"[10, 9, 8]",1.1519837516458007
400,"[10, 9, 7]",two-tone,2,2,2,1.2174979601418825,"[10, 9, 7]",1.2174979601418825
401,"[10, 9, 6]",two-tone,1,1,1,0.7251808536766411,"[10, 9, 6]",0.7251808536766411
402,"[10, 9, 5]",two-tone,1,1,1,0.6342331184684721,"[10, 9, 5]",0.6342331184684721
403,"[10, 9, 4]",two-tone,1,1,1,0.6704807533577606,"[10, 9, 4]",0.6704807533577606
404,"[10, 9, 3]",two-tone,1,1,1,0.7089660438108376,"[10, 9, 3]",0.7089660438108376
405,"[10, 9, 2]",two-tone,1,1,1,0.7262213606170586,"[10, 9, 2]",0.7262213606170586
406,"[10, 8, 8]",two-tone,1,1,1,0.6003624515107774,"[10, 8, 8]",0.6003624515107774
407,"[10, 8, 7]",two-tone,1,1,1,0.8123638622295382,"[10, 8, 7]",0.8123638622295382
408,"[10, 8, 6]",two-tone,2,2,2,0.7431079838556134,"[10, 8, 6]",0.7431079838556134
409,"[10, 8, 5]",two-tone,1,1,1,0.6947363748597111,"[10, 8, 5]",0.6947363748597111
410,"[10, 8, 4]",two-tone,1,1,1,0.6742284377161559,"[10, 8, 4]",0.6742284377161559
411,"[10, 8, 3]",two-tone,1,1,1,0.7497826737958428,"[10, 8, 3]",0.7497826737958428
412,"[10, 8, 2]",two-tone,1,1,1,0.7647595224453139,"[10, 8, 2]",0.7647595224453139
413,"[10, 7, 7]",two-tone,8,6,4,0.4901924176215327,"[10, 7, 7]",0.4901924176215327
414,"[10, 7, 6]",two-tone,1,1,1,0.8093614426390878,"[10, 7, 6]",0.8093614426390878
415,"[10, 7, 5]",two-tone,1,1,1,0.7932580433823987,"[10, 7, 5]",0.7932580433823987
