,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
36,"[8, 8, 6]",two-tone,16,11,8,0.3921711432279203,"[8, 8, 6]",0.3921711432279203
37,"[8, 8, 5]",two-tone,1,1,1,-0.3327768004278365,"[8, 8, 5]",-0.3327768004278365
38,"[8, 8, 4]",two-tone,1,1,1,-0.3602960000480872,"[8, 8, 4]",-0.3602960000480872
39,"[8, 8, 3]",two-tone,1,1,1,-0.3986849631505473,"[8, 8, 3]",-0.3986849631505473
40,"[8, 8, 2]",two-tone,2,2,2,-0.4125546469422666,"[8, 8, 2]",-0.4125546469422666
41,"[8, 7, 7]",two-tone,16,11,8,0.5024888792067317,"[8, 7, 7]",0.5024888792067317
42,"[8, 7, 6]",two-tone,1,1,1,0.13432185679423925,"[8, 7, 6]",0.13432185679423925
43,"[8, 7, 5]",two-tone,1,1,1,-0.6806516096582763,"[8, 7, 5]",-0.6806516096582763
44,"[8, 7, 4]",two-tone,1,1,1,-0.6405716432583255,"[8, 7, 4]",-0.6405716432583255
45,"[8, 7, 3]",two-tone,1,1,1,-0.3932147033634573,"[8, 7, 3]",-0.3932147033634573
46,"[8, 7, 2]",two-tone,1,1,1,-0.36907013121123455,"[8, 7, 2]",-0.36907013121123455
47,"[8, 6, 6]",two-tone,16,11,8,0.5500526740952427,"[8, 6, 6]",0.5500526740952427
48,"[8, 6, 5]",two-tone,1,1,1,-0.2940942866566148,"[8, 6, 5]",-0.2940942866566148
49,"[8, 6, 4]",two-tone,1,1,1,-0.22378851742390127,"[8, 6, 4]",-0.22378851742390127
50,"[8, 6, 3]",two-tone,1,1,1,-0.29907926385214284,"[8, 6, 3]",-0.29907926385214284
51,"[8, 6, 2]",two-tone,1,1,1,-0.2768373821509929,"[8, 6, 2]",-0.2768373821509929
52,"[8, 5, 5]",two-tone,10,7,5,0.2773123979496732,"[8, 5, 5]",0.2773123979496732
53,"[8, 5, 4]",two-tone,1,1,1,-0.21036049543366495,"[8, 5, 4]",-0.21036049543366495
54,"[8, 5, 3]",two-tone,1,1,1,-0.3656174930130212,"[8, 5, 3]",-0.3656174930130212
55,"[8, 5, 2]",two-tone,1,1,1,-0.347445448097917,"[8, 5, 2]",-0.347445448097917
56,"[8, 4, 4]",two-tone,1,1,1,0.04874949988661198,"[8, 4, 4]",0.04874949988661198
57,"[8, 4, 3]",two-tone,1,1,1,-0.3998496193260877,"[8, 4, 3]",-0.3998496193260877
58,"[8, 4, 2]",two-tone,1,1,1,-0.3803443286961704,"[8, 4, 2]",-0.3803443286961704
59,"[8, 3, 3]",two-tone,1,1,1,-0.08106622830786772,"[8, 3, 3]",-0.08106622830786772
60,"[8, 3, 2]",two-tone,1,1,1,-0.4334917118926727,"[8, 3, 2]",-0.4334917118926727
61,"[8, 2, 2]",two-tone,1,1,1,-0.1274277749949843,"[8, 2, 2]",-0.1274277749949843
62,"[7, 7, 6]",two-tone,16,11,8,0.6769083465665364,"[7, 7, 6]",0.6769083465665364
63,"[7, 7, 5]",two-tone,1,1,1,0.5662912452995159,"[7, 7, 5]",0.5662912452995159
64,"[7, 7, 4]",two-tone,1,1,1,0.11925429664296132,"[7, 7, 4]",0.11925429664296132
65,"[7, 7, 3]",two-tone,2,2,2,0.0988546126778166,"[7, 7, 3]",0.0988546126778166
66,"[7, 7, 2]",two-tone,1,1,1,0.06478083759475711,"[7, 7, 2]",0.06478083759475711
67,"[7, 6, 6]",two-tone,16,11,8,0.9331580929963432,"[7, 6, 6]",0.9331580929963432
68,"[7, 6, 5]",two-tone,1,1,1,-1.4283549211932995,"[7, 6, 5]",-1.4283549211932995
69,"[7, 6, 4]",two-tone,1,1,1,-0.032623470226285985,"[7, 6, 4]",-0.032623470226285985
70,"[7, 6, 3]",two-tone,1,1,1,0.2788875006512537,"[7, 6, 3]",0.2788875006512537
71,"[7, 6, 2]",two-tone,1,1,1,0.2242042432740413,"[7, 6, 2]",0.2242042432740413
72,"[7, 5, 5]",two-tone,1,1,1,0.6619175666123513,"[7, 5, 5]",0.6619175666123513
73,"[7, 5, 4]",two-tone,1,1,1,0.5578188806335649,"[7, 5, 4]",0.5578188806335649
74,"[7, 5, 3]",two-tone,1,1,1,0.3044651984893969,"[7, 5, 3]",0.3044651984893969
